Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,convertor
353,1051414460,0.028544,0.035327,,0.06048,0.119808,,,,,,,,
354,1051635419,0.039648,0.035232,0.608063,0.023552,0.096351,0.103744,,,,,,,
355,1052221530,0.034112,0.057792,0.855486,0.028224,,0.09808,,,,,,,
356,1052383065,0.024544,0.11936,1.156094,0.067008,0.102655,0.094399,,,,,,,
357,1053150455,,,1.491484,,0.090752,0.108032,,,,,,,
358,1053604534,,,1.35478,,0.095488,0.093472,,,,,,,
359,1053844854,0.05648,0.063264,1.554588,0.04,0.122048,0.09152,,,,,,,
360,1054504436,,,0.556318,,0.088864,0.090432,,,,,,,
361,1054896307,0.053152,0.055584,,0.036832,0.088576,,,,,,,,
362,1055077587,0.03248,0.039488,0.088864,0.104224,,0.104096,,,,,,,
363,1055298002,0.027296,0.035488,,0.04784,0.116319,,,,,,,,
364,1055469746,0.02336,0.030368,,0.023488,,,,,,,,,
365,1055579058,0.023008,0.028384,0.343039,0.02224,,,,,,,,,
366,1055685009,0.023423,0.028512,,0.02256,0.12352,0.091167,,,,,,,
367,1055842769,0.023072,0.030368,0.652287,0.023264,,,,,,,,,
368,1056131280,0.0336,0.035968,,0.024352,,0.093183,,,,,,,
369,1056208816,0.024576,0.034336,,0.048544,0.087872,,,,,,,,
