Frame,ts,rtpsession0,rtpstorage0,rtpjitterbuffer0,rtpssrcdemux0,typefind,rtpptdemux0,rtph265depay0,h265parse0,capsfilter0,nvv4l2decoder0,queue,Stream-muxer,nvtiler,onscreendisplay
313,1084388887,0.067518,0.059679,0.047103,0.041502,0.063294,0.065406,0.113821,1.636879,0.08499,,,,,
314,1087056104,0.062046,0.063231,0.041311,0.068541,0.040447,0.050079,,,,,,,,
315,1089840405,0.134108,0.045727,0.043679,0.030719,0.048703,0.068542,,,,,,,,
316,1090084878,0.070301,0.107037,0.032991,0.042463,0.040735,0.045055,0.040095,2.782925,0.067486,6.340131,,,,7.136108
317,1093518056,0.033599,0.038495,0.047903,0.031807,0.05091,0.057822,,,,,,,,
318,1093745057,0.083997,0.048351,0.107741,0.035167,0.053055,0.048958,,,,,1.116895,0.213786,,
319,1094090455,,,0.057662,,0.086589,0.106013,0.055487,0.245496,0.042911,3.191073,0.131772,,,
320,1096513647,,,,,,,,,,3.268831,0.14758,0.158875,,
321,1097995267,0.126621,0.122524,0.075966,0.052798,,,,,,,0.090461,0.102973,,
322,1111685581,0.036447,0.106909,,0.05763,0.092797,0.138364,,,,,,,,
323,1111880967,0.032767,0.037279,0.356277,0.028575,0.092189,0.079358,,,,,,,,
324,1112529012,0.129628,0.124508,0.532561,0.047007,0.05699,0.086909,0.080254,0.28172,0.081149,3.156323,0.205338,0.32895,,
325,1149288882,0.055006,0.055326,0.065086,0.040415,0.06419,0.079678,,,,,,,,
326,1150916929,0.030527,0.035967,0.042495,0.128892,0.085757,0.068414,,,,,,,,
327,1151191641,0.089694,0.088605,0.064447,0.037631,0.040607,0.045406,0.053566,0.240697,0.037183,3.700754,0.137564,0.133564,,
328,1157683257,0.048542,0.052415,0.046718,0.034143,0.050078,0.095934,,,,,,,,
329,1158397571,0.028191,0.036767,0.030303,0.02816,0.061951,0.043838,,,,,,,,
330,1158610685,0.036383,0.044222,0.10854,0.027935,0.049759,0.039647,,,,,,,,
331,1160282316,0.05059,0.101853,0.08755,0.041183,0.05331,0.079422,,,,,,,,
332,1161101747,0.033695,0.091134,0.045055,0.049662,0.086174,0.075485,,,,,,,,
333,1161405130,0.063647,0.222937,0.110109,0.059166,0.049055,0.052478,,,,,,,,
334,1161728769,0.035967,0.067422,0.036127,0.052351,0.051326,0.049215,,,,,,,,
335,1161962810,0.031583,0.035839,0.103677,0.05427,0.069406,0.062174,,,,,,,,
336,1162150420,0.031039,0.030111,0.162364,0.040991,,0.038782,,,,,,,,
337,1162277776,0.02656,0.032799,,0.025119,0.036863,,,,,,,,,
338,1162424140,0.023199,0.034623,,0.023519,,,,,,,,,,
339,1162515529,0.023712,0.032287,0.324118,0.04323,0.044031,0.049823,,,,,,,,
340,1162765026,,,0.39554,,0.036639,0.039583,,,,,,,,
341,1162931421,,,0.445523,,0.037407,0.038239,,,,,,,,
342,1163093240,0.032991,0.035551,0.476594,0.025983,0.034655,0.036159,,,,,,,,
343,1163988670,0.041151,0.030879,0.030783,0.027007,0.073022,0.073694,,,,,,,,
344,1164169688,0.025919,0.030911,0.204986,0.034207,0.070302,0.084061,,,,,,,,
